match_id,radiant_win,radiant_team,dire_team
8988832735,True,"30,51,40,48,20","14,104,8,85,11"
8988832679,True,"21,112,54,30,42","10,101,35,62,7"
8988832631,True,"145,106,74,104,121","100,14,52,17,82"
8988832590,True,"63,56,84,128,74","26,93,7,53,109"
8988832563,True,"50,20,74,86,6","53,111,39,45,35"
8988832542,True,"35,14,25,96,64","119,97,74,114,53"
8988832478,True,"106,114,48,42,37","43,26,14,20,2"
8988832328,True,"93,39,85,30,71","86,37,12,16,43"
8988832272,False,"0,0,0,0,0","0,0,0,0,0"
8988832236,True,"35,32,90,107,11","101,8,57,30,36"
8988832210,True,"26,88,44,86,60","58,8,94,27,31"
8988832143,True,"42,25,56,87,79","7,9,21,105,81"
8988832085,True,"27,6,107,62,97","60,74,129,54,86"
8988832065,False,"103,35,90,94,7","84,121,21,98,86"
8988832017,True,"7,26,109,20,14","98,105,11,104,5"
8988831996,True,"8,22,105,34,61","74,109,92,20,53"
8988831932,True,"136,74,71,86,11","32,100,56,112,108"
8988831906,False,"14,29,63,100,53","86,28,74,41,91"
8988831880,True,"44,7,113,86,96","56,14,136,35,85"
8988831879,True,"98,101,41,121,74","16,44,53,83,14"
8988831815,True,"86,21,25,11,55","1,101,98,30,15"
8988831812,True,"50,106,48,96,71","2,26,18,74,17"
8988831785,True,"11,68,14,84,53","75,10,20,42,7"
8988831775,True,"35,39,86,96,85","22,81,9,104,11"
8988831747,False,"137,58,36,56,30","62,102,20,98,74"
8988831684,True,"44,14,5,15,27","29,63,93,100,16"
8988831665,True,"42,69,14,86,106","23,81,7,35,32"
8988831664,False,"128,42,54,59,62","26,101,36,2,70"
8988831644,True,"90,25,5,30,42","22,50,99,48,64"
8988831608,True,"126,81,131,86,54","44,22,76,108,14"
8988831578,True,"36,35,128,51,54","22,6,84,56,81"
8988831550,True,"25,6,20,42,123","3,7,91,102,4"
8988831494,True,"13,44,26,42,5","27,15,77,8,87"
8988831479,True,"84,75,42,40,63","12,71,119,121,104"
8988831343,True,"59,80,86,14,111","30,7,5,74,12"
8988831324,True,"56,22,90,129,12","101,19,48,37,15"
8988831302,True,"53,14,75,44,114","48,91,138,129,26"
8988831244,False,"104,44,71,21,129","22,84,18,30,62"
8988831205,False,"52,70,86,53,13","7,14,145,56,84"
8988831196,True,"51,5,14,74,8","103,90,19,112,106"
8988831171,True,"88,47,42,31,80","101,25,108,20,22"
8988831149,True,"41,22,102,36,26","83,53,74,71,6"
8988831146,False,"93,107,79,61,50","76,5,14,46,128"
8988831118,True,"90,14,51,11,39","19,114,7,97,12"
8988831088,True,"13,51,84,35,121","137,68,42,113,100"
8988831063,True,"100,1,60,84,36","88,5,94,85,107"
8988831044,True,"91,86,55,64,10","7,84,128,101,54"
8988831023,False,"14,34,48,9,7","75,76,135,85,50"
8988831015,True,"27,42,25,21,121","11,59,128,20,84"
8988831014,True,"8,29,22,1,55","35,44,68,108,84"
8988831007,True,"21,7,84,104,128","75,39,14,30,54"
8988831005,True,"43,21,14,41,1","129,86,28,11,67"
8988830989,False,"58,84,25,98,26","86,14,104,64,41"
8988830976,False,"17,14,56,84,11","128,74,103,18,19"
8988830950,True,"112,26,56,88,48","97,2,50,19,74"
8988830905,True,"108,41,97,86,35","64,74,38,79,84"
8988830888,True,"96,136,26,81,75","71,14,22,12,105"
8988830879,False,"79,106,109,137,18","86,39,19,62,54"
8988830858,False,"93,45,123,74,49","119,110,4,86,84"
8988830842,True,"40,85,21,86,48","128,12,137,26,126"
8988830776,True,"7,66,44,86,135","27,10,128,16,49"
8988830730,False,"6,75,2,71,126","14,86,97,54,108"
8988830725,True,"70,11,86,14,129","53,100,35,29,84"
8988830596,True,"33,9,84,36,11","13,26,19,135,1"
8988830554,False,"44,36,49,111,50","11,97,90,48,42"
8988830523,False,"15,26,8,43,5","90,50,18,84,97"
8988830519,False,"75,42,14,11,113","10,71,36,17,27"
8988830511,True,"99,88,17,11,26","44,2,5,101,36"
8988830484,True,"109,106,5,60,30","83,93,74,111,69"
8988830446,False,"100,106,9,12,56","4,90,71,88,103"
8988830444,True,"20,5,135,26,138","80,9,75,40,2"
8988830415,False,"40,137,84,11,10","13,75,2,121,93"
8988830387,True,"54,106,26,20,42","43,27,12,7,47"
8988830318,True,"59,21,22,71,8","2,40,93,54,86"
8988830301,False,"42,84,54,21,97","75,33,99,40,67"
8988830291,False,"34,4,126,66,70","45,106,44,46,84"
8988830275,False,"42,50,18,64,43","35,137,11,102,15"
8988830272,False,"12,22,26,29,101","53,81,84,25,93"
8988830264,True,"26,21,54,39,131","96,11,67,30,97"
8988830233,False,"29,131,22,35,9","8,54,106,121,55"
8988830169,False,"103,58,42,11,44","62,76,35,65,111"
8988830149,False,"123,2,40,83,8","63,5,108,101,27"
8988830133,True,"61,35,11,49,11","22,3,44,111,99"
8988830114,False,"135,96,26,21,8","111,86,6,98,14"
8988830101,True,"12,23,113,114,62","90,105,96,94,11"
8988830098,True,"74,105,7,71,35","39,21,4,104,101"
8988830003,True,"95,50,55,86,74","108,20,35,102,128"
8988830001,True,"123,36,2,56,14","53,32,106,8,96"
8988829962,False,"107,14,44,123,50","111,104,74,109,21"
8988829821,True,"39,63,11,105,7","97,73,96,84,14"
8988829800,True,"8,55,97,9,1","14,74,31,22,44"
8988829791,True,"2,14,97,74,11","42,43,5,84,48"
8988829686,False,"105,69,6,86,102","18,131,67,100,28"
8988829666,True,"93,26,20,68,49","114,131,85,25,9"
8988829631,True,"71,44,104,101,86","14,137,93,35,60"
